Experiment,n_folds,psnr_roi_mean,psnr_roi_std,ssim_roi_mean,ssim_roi_std,mae_mean,mae_std,calibration_bias_mean,calibration_bias_std,variance_ratio_mean,variance_ratio_std,psnr_enh_mean,psnr_enh_std,ssim_enh_mean,ssim_enh_std,grad_enh_mean,grad_enh_std,lpips_mean,lpips_std,lpips_enh_mean,lpips_enh_std,sharpness_pred_mean,sharpness_pred_std,sharpness_gt_mean,sharpness_gt_std,sharpness_ratio_mean,sharpness_ratio_std,sharpness_ratio_enh_mean,sharpness_ratio_enh_std,total_params_mean,total_params_std,trainable_params_mean,trainable_params_std,gflops_mean,gflops_std,avg_inference_time_ms_per_slice_mean,avg_inference_time_ms_per_slice_std,throughput_slices_per_sec_mean,throughput_slices_per_sec_std
EXP-100_UNET_L1,5,24.13403960302586,0.100713715866654,0.7454412076803008,0.0006360114690453522,0.19538070546736053,0.004403879551957582,-0.034330813123641855,0.005553162481988678,0.9187395500484625,0.01897188776438628,16.86408461303086,0.24152501809409196,0.5791059887716998,0.008362160840714488,1.2241260476131135,0.005832227367352664,0.2578189045945444,0.003157846209268824,0.02940358388143056,0.0016650628764456508,0.2786269121647448,0.007245602795355695,0.5997624060068767,0.0,0.4714489282081785,0.013285824664066526,0.4566636667087384,0.015275334145731309,7757153.0,0.0,7757153.0,0.0,48.540680192,0.0,10.901746400166303,0.004519535803301325,91.72843513420668,0.038034112445896634
EXP-202_ATTENTION_UNET_L1,5,24.105775001012496,0.11517396061729657,0.7453154408145098,0.0023134680241423734,0.19633230313900168,0.002320542963009929,-0.022584206137845238,0.024968110753439687,0.9273083097960779,0.023523750316260948,16.954711308754053,0.28807899505394047,0.579442921128553,0.006251969906726327,1.2220298425813865,0.006033807053560825,0.26632512498833594,0.009330826956750358,0.027434691254743758,0.0022546571675964872,0.2803559243790429,0.004446083066074185,0.5997624060068767,0.0,0.47198271439939815,0.007384111603614932,0.4418544659950734,0.018624022409908483,8023335.0,0.0,8023335.0,0.0,49.675935744,0.0,11.279710799921304,0.002920678031651877,88.65475998194255,0.02295389460745444
EXP-204_DENSE_UNET_L1,5,23.932975509850138,0.0842428027683311,0.7464025024145592,0.002740309686657636,0.1999655763041539,0.0014346575649806825,-0.024713108254292782,0.008793159038040453,0.9155321448571602,0.040965605945650435,16.549012428424625,0.35735470015179055,0.5778474127497493,0.007939308096996132,1.2171089960457908,0.006022183098986835,0.24364833890638918,0.020379176633688517,0.02739404166347596,0.0019706397362332716,0.2766313681191416,0.0023868729255619903,0.5997624060068767,0.0,0.4663455867388334,0.003485166121018006,0.41565515746232523,0.022226133668988256,666500.0,0.0,666500.0,0.0,13.926727680000003,1.9860273225978185e-15,10.097092000301927,0.036931741828919805,99.0394813256431,0.3640029442713055
EXP-303_T1_T2_FLAIR_TO_T1CE,5,24.36276892832999,0.18714533520850257,0.7433615887957976,0.0017567098794002978,0.1898806137605311,0.0028770581746489095,-0.02750469640935808,0.009301062600200668,0.9324449356805488,0.03268590718926715,17.754210479857917,0.37259560664173375,0.5983460052530163,0.0066445095562940775,1.2393692465928452,0.006127068949538996,0.26047128951217635,0.003622660188848303,0.02889715774878014,0.002949487842874883,0.2953301272997932,0.006990800276188556,0.5997624060068767,0.0,0.5004316568750192,0.009952654618658848,0.5294579048870517,0.02021975986428483,8196565.0,0.0,8196565.0,0.0,52.89803776,0.0,14.487842000089586,0.03674095435319285,69.0237461740715,0.1744928302352541
EXP-402_MULTI_ENCODER_STEP1_T1_T2_F,5,24.231758753875067,0.13054340056099237,0.7462998433676208,0.001226204550418649,0.1927807699346123,0.0036319777855429933,-0.032261837891557905,0.009268330858807915,0.9373776865760759,0.025368111604825997,17.352264855765455,0.34468133462088146,0.5943313263319954,0.008681161674403543,1.23214050459925,0.010888774734298551,0.24237545254704101,0.006825004417391566,0.027159507088054757,0.00281930701984328,0.28166135935332065,0.008425261749655629,0.5997624060068767,0.0,0.47707622671810335,0.013536080495384992,0.47793978209005694,0.025617738158427637,6258241.0,0.0,6258241.0,0.0,77.61559552,0.0,19.65641919989139,0.19706854946869656,50.87809863577943,0.5152794580325573
EXP-500_GUIDED_RESATTENTION_T1T2F,5,24.396093148388793,0.06999216295498199,0.7457488837133652,0.0008116059975720588,0.1895827681805001,0.0021748763217755126,-0.037397931981006396,0.012992531141181991,0.9084254674381983,0.028528824189752184,17.42188800012384,0.3451572772002036,0.5920774603265624,0.010135896230213498,1.2225968505252338,0.009360200607325234,0.26097824160376115,0.0030332528306887215,0.0279862215058571,0.0018739639904257514,0.28592234725130145,0.004703151190137715,0.5997624060068767,0.0,0.48570457643275555,0.009393984556687471,0.4977204431608976,0.010154854679251125,9454245.0,0.0,9454245.0,0.0,67.282403328,0.0,19.52125719981268,0.13529132740982117,51.22816607406129,0.3530015373997341
EXP-601_EDM,5,22.046407502438843,0.1144561807563862,0.6994033201138684,0.003086055470394352,0.24131054724111242,0.0033866526589907578,0.02422517387769496,0.007702269314735273,1.01996842224912,0.008449834335471036,17.394700910153528,0.11991640941753384,0.5468271544641627,0.0039785028973919785,1.505975127765758,0.02121378661915956,0.19043354157904627,0.004955538690017542,0.029080812865075117,0.0020065790567239234,0.5777340526271075,0.00835243949086304,0.5997624060068767,0.0,0.9696699599431777,0.013408466359583305,0.9205586289195029,0.025551113624050464,16302486.0,0.0,16302486.0,0.0,103.89658009600001,1.5888218580782548e-14,27.363899199990556,0.1520522428121095,36.545400025472006,0.2025837708369174
EXP-602_EDM,5,24.0475200417142,0.21186969551817894,0.7331023246763863,0.0022185150692147606,0.19711067184998504,0.004501460166217478,0.0053814799841179995,0.004656275776404383,0.9657393182390221,0.024425300289471305,18.13191823452084,0.19802981222206628,0.5984260474644977,0.003471034329899602,1.2628402835411185,0.015696816283940183,0.21432078004257754,0.0069251292371055005,0.021469589033557862,0.002280052316711632,0.3336203902997769,0.007807527359477028,0.5997624060068767,0.0,0.5632310919745722,0.01235482665558829,0.5878321569735192,0.03208921674984448,16302486.0,0.0,16302486.0,0.0,103.89658009600001,1.5888218580782548e-14,27.242072800174356,0.052032859785066325,36.70803363932217,0.07026221993954078
EXP-703_EDM_GAN_VGG_LPIPS,5,24.530626913965826,0.0565420493299223,0.7399035133596956,0.0017266355438188027,0.18849974494940272,0.0017502669770514433,-0.00702948260011398,0.015298086149069372,0.9053367195380391,0.03383725498861923,17.645670090758653,0.328848753480208,0.595449269029981,0.005720551951117385,1.246381259554099,0.007488785615888352,0.2319043443152251,0.003852164670394374,0.026211415478169364,0.0025683070192863244,0.30285367222299914,0.006552644999511947,0.5997624060068767,0.0,0.5133573900507642,0.012412507404024522,0.557842085206537,0.016176042858559996,15780246.0,0.0,15780246.0,0.0,104.022409216,0.0,27.298604399897158,0.009321307136954683,36.63191270258311,0.01250889295473209
EXP-706_PROPOSED_FDR,1,23.91042177106415,,0.7331613399628092,,0.1990744173685945,,0.0087193693061213,,0.9650772113821195,,18.36609024403385,,0.6036941124888038,,1.2453042681082511,,0.2263857087061251,,0.0193701780481444,,0.3266053207108605,,0.5997624060068767,,0.5515866445945607,,0.5544548559154692,,15780246.0,,15780246.0,,104.022409216,,27.54863000009209,,36.2994457436416,
EXP-713_MULTISCALE_CROSS_ATTENTION,5,24.108299546543943,0.08706901303793464,0.7486851508114902,0.0027243825492084574,0.19503966296257333,0.0015572119540530676,-0.02981401831840172,0.011650693323626409,0.9166592704010135,0.03042959062294943,17.260865116804304,0.4561567773376565,0.587535760101269,0.00895135350621641,1.2281298383553376,0.00502663078767878,0.2518465200761625,0.006781641424166149,0.02554312372044406,0.0027410705491533504,0.31636291132235544,0.011838166940952187,0.5997624060068767,0.0,0.5335446634735046,0.019837358816749775,0.48488215250836275,0.02422221441185343,13851235.0,0.0,13851235.0,0.0,151.062052864,0.0,43.98022200004198,0.07795252024835038,22.7375503755326,0.040301063968986583
EXP-716A_CROSS_ATTENTION_DECOMPOSITION,1,17.49884369215428,,0.2384822444977881,,0.6343434799448581,,0.3172105211879548,,0.2125340353050379,,13.800294731122488,,0.4845828067293071,,1.1746113528008577,,0.2805271391953943,,0.0148897056701461,,0.1535592893274562,,0.5997624060068767,,0.2587311363962933,,0.0976654479760443,,13851268.0,,13851268.0,,151.070441472,,43.91319000045769,,22.772201244992164,
EXP-803_SharpFreq_LSGAN_Iter1,1,24.03289716564509,,0.749917995701995,,0.1998644964983526,,-0.0349949360995119,,0.9058768103815796,,16.898910519271094,,0.580697725952815,,1.2219419780396088,,0.2524718338713162,,0.0215527159753794,,0.3181978196068851,,0.5997624060068767,,0.537437976029938,,0.4524851369226755,,13851235.0,,13851235.0,,151.062052864,,43.89301999937743,,22.782665672450516,
EXP-806_GroupNorm_CosineLR_Iter4,1,23.78036187924044,,0.7434311933637262,,0.2033276978449486,,-0.0336748510385545,,0.942757100049764,,17.33150555327857,,0.5815361443801218,,1.2632439069351875,,0.2693923970674575,,0.0303784864037656,,0.3899988222335445,,0.5997624060068767,,0.6509074129138289,,0.5816403938547459,,13861091.0,,13861091.0,,151.158521856,,47.21529599977657,,21.17957705919565,
EXP-813_StratifiedEnh_Sharpness,5,24.003554661061337,0.13680585789249716,0.7464056430098744,0.0017291268492929343,0.20060830058150864,0.004223196633974883,-0.019824627471709176,0.00533421739332669,0.9129298042134228,0.021876745587916115,17.170625798773763,0.40935030433252334,0.5862083265241136,0.00978727916263322,1.23965587521421,0.0058094547319384555,0.22799440656503087,0.013457571597289459,0.025702178230379756,0.0009627046775310034,0.36530150062876376,0.008641839044163034,0.5997624060068767,0.0,0.6139391978262702,0.014985946259378612,0.5345121267171203,0.020432755156008085,28264811.0,0.0,28264811.0,0.0,240.264497664,0.0,67.88175080018118,0.3430091548828144,14.731800577512033,0.07439982706666948
EXP-815_EnhSegHead_EagerInit_FastTrain,1,23.831783963684195,,0.7440235984916852,,0.2038010630245365,,-0.0478849615854256,,0.8710485639450516,,16.85103146229279,,0.5757116522494721,,1.269713849996116,,0.2346623417294553,,0.025451518951388,,0.4190288882241235,,0.5997624060068767,,0.70403445626482,,0.6160618678308305,,28638140.0,,28638140.0,,246.416230912,,69.16864800034091,,14.457417181192715,
EXP-816_CalibratedGate_BalancedSeg,5,23.80643093850344,0.19567637208281238,0.7415031751836418,0.0009678305464014766,0.20411811880876538,0.0041553766206235705,-0.0550881412042568,0.005752336792489591,0.8378753697966005,0.03036916328189289,16.466424165709434,0.5677210451229681,0.5670879136674382,0.011381216997207946,1.2681516187218977,0.038735430232521316,0.2356292563925912,0.009491061806633887,0.02722302814954746,0.0021080656121294544,0.3952406708184773,0.018911956308020134,0.5997624060068767,0.0,0.6636139529938218,0.02976641142701958,0.5684003721489607,0.05438058890415996,28638140.0,0.0,28638140.0,0.0,246.416230912,0.0,69.48316760011949,0.3864037817699146,14.392328388171816,0.07946861463065533
