Comparison_Family,Champion,Baseline,Metric,Metric_Direction,n_pairs,n_zero_diff_excluded,champion_mean,baseline_mean,champion_better,wilcoxon_stat,p_value,p_value_corrected,significance_corrected,significance_raw
champion_vs_internal,EXP-602_EDM,EXP-100_UNET_L1,psnr_roi,higher,10,0,24.047520041714193,24.13403960302586,baseline,26.0,0.921875,0.9290213178294573,ns,ns
champion_vs_internal,EXP-602_EDM,EXP-100_UNET_L1,ssim_roi,higher,10,0,0.7331023246763861,0.7454412076803006,baseline,1.0,0.00390625,0.0067708333333333336,**,**
champion_vs_internal,EXP-602_EDM,EXP-100_UNET_L1,mae,lower,10,0,0.19711067184998504,0.1953807054673605,baseline,25.0,0.845703125,0.8866242439516129,ns,ns
champion_vs_internal,EXP-602_EDM,EXP-100_UNET_L1,calibration_bias,closer_to_zero,10,0,0.0053814799841180195,-0.03433081312364185,champion,0.0,0.001953125,0.00396728515625,**,**
champion_vs_internal,EXP-602_EDM,EXP-100_UNET_L1,variance_ratio,closer_to_one,10,0,0.9657393182390221,0.9187395500484625,champion,0.0,0.001953125,0.00396728515625,**,**
champion_vs_internal,EXP-602_EDM,EXP-100_UNET_L1,psnr_enh,higher,10,0,18.131918234520843,16.86408461303086,champion,2.0,0.005859375,0.009521484375,**,**
champion_vs_internal,EXP-602_EDM,EXP-100_UNET_L1,ssim_enh,higher,10,0,0.5984260474644977,0.5791059887716998,champion,8.0,0.048828125,0.06103515625,ns,*
champion_vs_internal,EXP-602_EDM,EXP-100_UNET_L1,grad_enh,lower,10,0,1.2628402835411185,1.2241260476131137,baseline,4.0,0.013671875,0.020429238505747127,*,*
champion_vs_internal,EXP-602_EDM,EXP-100_UNET_L1,lpips,lower,10,0,0.21432078004257754,0.2578189045945444,champion,0.0,0.001953125,0.00396728515625,**,**
champion_vs_internal,EXP-602_EDM,EXP-100_UNET_L1,lpips_enh,lower,10,0,0.021469589033557845,0.029403583881430558,champion,0.0,0.001953125,0.00396728515625,**,**
